Page,Job_Title,Company,Salary,Link
21,Werkstudent Frontend Developer (m/w/d),Vogel Corporate Media,"12,50 € pro Stunde",https://de.indeed.com/company/Vogel-Business-Media-Berlin/jobs/Werkstudent-Frontend-Developer-258042e4f09d5039?fccid=8b3abd991fc01a2b&vjs=3
21,Business Development - Werkstudent,Matchmade,,https://de.indeed.com/rc/clk?jk=8f0e773a2fbe6645&fccid=e722661bda80853e&vjs=3
21,Werkstudent / Studentische Aushilfe Online-Redaktion (m/w/d)...,Axel Springer,,https://de.indeed.com/rc/clk?jk=f36493e71d033b4d&fccid=207576419925c2f8&vjs=3
21,Werkstudent (d/m/w) im Bereich Bildung und Wissenschaft,VDI/VDE Innovation + Technik GmbH,"12,50 € pro Stunde",https://de.indeed.com/rc/clk?jk=96ca937f3db6550f&fccid=43b595b3aed786a3&vjs=3
21,Werkstudent (w/m/x) News bei watson.de,Ströer SE & Co. KGaA,,https://de.indeed.com/rc/clk?jk=aefc33ee08c15785&fccid=4dccbbc0d0538e50&vjs=3
21,Werkstudent (m/w/d) für Content-Management,BP Mediawork GmbH,14 € pro Stunde,https://de.indeed.com/company/BP-Mediawork-GmbH/jobs/Werkstudent-Content-Management-8bc273ada45641cc?fccid=0ddc0a7a004070c0&vjs=3
21,Gym Front Desk Staff (Working Student),BEAT81,,https://de.indeed.com/company/BEAT81/jobs/Gym-Front-Desk-Staff-957386975e00d266?fccid=1c021317252961c3&vjs=3
21,Werkstudent Projektmanagement (m/w/d),BIOTRONIK,,https://de.indeed.com/rc/clk?jk=48cc46377961701f&fccid=b8074b8025c787a5&vjs=3
31,"Werkstudent*in im Bereich Digitales, Kommunikation und Event...",gut.org gAG,,https://de.indeed.com/rc/clk?jk=234462606f7eb9de&fccid=74b8c42908285c3a&vjs=3
31,Produktion - Werkstudent (m/w/d),Labmaker UG,,https://de.indeed.com/company/LabMaker-UG/jobs/Produktion-212fa0d66a74e422?fccid=6d8aaf7e85770576&vjs=3
31,Working Student Logistic (f/m/d) 20 hours/ week,Weber-Stephen-Deutschland GmbH,13 € pro Stunde,https://de.indeed.com/company/Weber--Stephen--Deutschland-GmbH/jobs/Working-Student-Logistic-Hours-04bf005021d61e67?fccid=815e0b98e9ca2941&vjs=3
31,Werkstudent im Social Media & Influencer Marketing (w/m/d),Gymondo GmbH,,https://de.indeed.com/company/Gymondo-GmbH/jobs/Werkstudent-Social-Media-Influencer-Marketing-e3bf1fe3a59a6442?fccid=45b7592c29707cf6&vjs=3
31,Werkstudent (m/w/d) im Bereich Social Media,MAGIX Software GmbH,10 € - 12 € pro Stunde,https://de.indeed.com/company/MAGIX-Software-GmbH/jobs/Werkstudent-Social-Media-467ed6a72d30b488?fccid=a814be385c3058ba&vjs=3
31,Werkstudenten als Produktionshelfer (m/w/d),Mail Box Direkt-Marketing Service GmbH,,https://de.indeed.com/company/Mail-Box-Direkt--Marketing-Service-GmbH/jobs/Werkstudenten-Produktionshelfer-53216d061c3ab923?fccid=0077b491bf46d43a&vjs=3
31,Praktikant oder Werkstudent Steuerberatung (m/w/d) - Berlin,Mazars GmbH & Co. KG,,https://de.indeed.com/rc/clk?jk=e7c23a24102b1b0f&fccid=72ce849590b22588&vjs=3
31,"Werkstudent (m/w/d) Engineering, befristet bis 31.03.2021",Coca-Cola European Partners,,https://de.indeed.com/rc/clk?jk=19566b9c7313b570&fccid=deff4b327fcb9d1c&vjs=3
31,Werkstudent Production Engineering (m/w/d),BIOTRONIK,,https://de.indeed.com/rc/clk?jk=5df89d0a44ca116d&fccid=b8074b8025c787a5&vjs=3
31,Werkstudent Produktionshelfer Handschriftautomation (m/w),Wunderpen GmbH,,https://de.indeed.com/rc/clk?jk=d33c153562bee901&fccid=6ce0f9a615286698&vjs=3
41,Finance & Admin Werkstudent(in),machtfit GmbH,,https://de.indeed.com/company/machtfit-GmbH/jobs/Finance-Admin-Werkstudent-ac1772493bb29917?fccid=c214bd05fa183051&vjs=3
41,Werkstudent (m/w/d) Requirement Engineering,Bundesdruckerei,,https://de.indeed.com/rc/clk?jk=12dd58752add77b2&fccid=46211c742b04bb16&vjs=3
41,Werkstudent (m/w/d) digitale Heizungstechnik,KUGU Home GmbH,,https://de.indeed.com/rc/clk?jk=86faad08f98ef6df&fccid=9c0aa057dc4ff749&vjs=3
41,Werkstudent/in Finance (M/W/X),AJ&Smart,,https://de.indeed.com/rc/clk?jk=179e146c0ed5401a&fccid=adb93ff395374f9a&vjs=3
41,Werkstudent (m/w/d) Strategy & Planning,Bundesdruckerei,,https://de.indeed.com/rc/clk?jk=b4de43bb4dc5c0ba&fccid=46211c742b04bb16&vjs=3
41,Werkstudent im Verkauf / Verkaufshilfe (m/w/d) 450-Euro-Basi...,Hugo Boss,,https://de.indeed.com/rc/clk?jk=1f4e3a9082106b8b&fccid=d56baf8d322ea311&vjs=3
41,Praktikant (m/w/d) im Bereich Marketing,SNAZZ UG,900 € - 1.200 € pro Monat,https://de.indeed.com/company/SNAZZ-UG/jobs/Praktikant-Marketing-0e14a7843c92acfd?fccid=542fc46165cc0dae&vjs=3
41,Werkstudent (m/w/d) - Datenbankpflege,VGL Verlagsgesellschaft,,https://de.indeed.com/rc/clk?jk=475ecb217f2a0d6e&fccid=8a4e912a8d81c93c&vjs=3
41,AUSHILFE | WERKSTUDENT GESUCHT für Ladengeschäft und Social...,TIMESTUFF Store Berlin,,https://de.indeed.com/company/Shorney-Trade-UG/jobs/Aushilfe-Werkstudent-Ladengesch%C3%A4ft-Social-Media-Content-7644969766820e6d?fccid=e525d8256cb9bc4e&vjs=3
41,Werkstudent Marketing (m/w/d),PLT - Planung für Logistik und Transport GmbH,,https://de.indeed.com/company/PLT---Planung-f%C3%BCr-Logistik-und-Transport-GmbH/jobs/Werkstudent-Marketing-55e5ff7a4a775ff5?fccid=edc7163cd23eaf32&vjs=3
51,Werkstudent (m/w/d) im Bereich Einkauf,Diehl Metall,,https://de.indeed.com/rc/clk?jk=2d60a8e48b680b81&fccid=a2f9e22ff406275b&vjs=3
51,Werkstudent HR (m/w/d),Medicover GmbH,,https://de.indeed.com/rc/clk?jk=23a32bbacf87adad&fccid=136a701c963df375&vjs=3
51,"Werkstudent* – Strategy, Sustainability & Projects",IAV GmbH,,https://de.indeed.com/rc/clk?jk=682f2b96116e7380&fccid=cac33da882733958&vjs=3
51,Werkstudent (w/m/d) technische Betreuung Forecast-Tool im Bu...,Siemens AG,,https://de.indeed.com/rc/clk?jk=1a6189f6cafe2598&fccid=3b89b9ec324f96c8&vjs=3
51,Studentische/n Mitarbeiter/in für psychologische Praxis,Gerhard Hennig,,https://de.indeed.com/rc/clk?jk=5c6da06dd375b970&fccid=174bba16d68c4de3&vjs=3
51,Werkstudent (m/w/d) Produkt- & Social Media Management,Musicstarter GmbH & Co. KG,,https://de.indeed.com/company/Musicstarter-GmbH-&-Co.-KG/jobs/Werkstudent-Produkt-6f8e7c71e5317131?fccid=d0ab76bedb40c293&vjs=3
51,Werkstudent Analitycal,"Sony Europe BV, Germany Branch",,https://de.indeed.com/rc/clk?jk=06607a3b4716b3dd&fccid=59c8e3e7017ea02a&vjs=3
51,Werkstudent Produktion (m/w/d),Bausch Health,,https://de.indeed.com/rc/clk?jk=b2800c12daf80977&fccid=3c63078511526fb9&vjs=3
51,Werkstudent (m/w/d) - 15-20h Stunden pro Woche,ALSTOM,,https://de.indeed.com/rc/clk?jk=5357756ebad2ebec&fccid=70bbeb2771f8c8e7&vjs=3
61,Werkstudent: Frontend Entwickler*in,Clear Canvas,15 € - 18 € pro Stunde,https://de.indeed.com/company/Clear-Canvas/jobs/Werkstudent-65de5442bc38a7f3?fccid=d90fad8bc2bb9c42&vjs=3
